date,nav_date,fund,nav,peak_3m,dd_3m_pct,peak_6m,dd_6m_pct,vix,regime,nifty50_dd_pct,momentum_negative,signal,allocation,confidence,velocity,velocity_5d_pct
2026-03-14,13 Mar 2026,Motilal Oswal Midcap Fund,94.8845,116.1548,18.31,122.513,22.55,22.65,Bear,12.07,True,Strong Buy,Small,72,Slow bleed,-3.76
2026-03-14,13 Mar 2026,Parag Parikh Flexi Cap Fund,80.5601,95.3441,15.51,95.7732,15.88,22.65,Bear,12.07,True,Strong Buy,Small,74,Fast crash,-10.26
2026-03-16,16 Mar 2026,Motilal Oswal Midcap Fund,95.4975,116.1548,17.78,122.513,22.05,21.6,Bear,11.09,True,Strong Buy,Small,70,Slow bleed,-4.05
2026-03-16,16 Mar 2026,Parag Parikh Flexi Cap Fund,88.1632,95.3441,7.53,95.7732,7.95,21.6,Bear,11.09,True,Alert,,49,Slow bleed,-1.79
2026-03-17,17 Mar 2026,Motilal Oswal Midcap Fund,96.876,116.1548,16.6,122.513,20.93,19.79,Bear,10.44,False,None,None,0,Slow bleed,-0.66
2026-03-17,17 Mar 2026,Parag Parikh Flexi Cap Fund,88.7044,95.3441,6.96,95.7732,7.38,19.79,Bear,10.44,False,None,None,0,Slow bleed,-1.91
2026-03-18,18 Mar 2026,Motilal Oswal Midcap Fund,99.4352,116.1548,14.39,121.3402,18.05,18.72,Bear,9.69,False,None,None,0,Slow bleed,2.45
2026-03-18,18 Mar 2026,Parag Parikh Flexi Cap Fund,89.0865,95.3441,6.56,95.7732,6.98,18.72,Bear,9.69,False,None,None,0,Slow bleed,-0.71
2026-03-20,20 Mar 2026,Motilal Oswal Midcap Fund,96.3556,115.5053,16.58,120.8065,20.24,22.81,Bear,12.21,False,None,None,0,Slow bleed,0.9
2026-03-20,20 Mar 2026,Parag Parikh Flexi Cap Fund,87.7072,95.3441,8.01,95.7732,8.42,22.81,Bear,12.21,False,None,None,0,Slow bleed,-0.52
2026-03-23,Motilal Oswal Midcap Fund,93.311,120.8065,0.2276,26.73,Aggressive Buy,d1250e1e16d88c84cff9d2fd7ef12272
2026-03-24,Motilal Oswal Midcap Fund,95.6599,120.8065,0.2082,24.74,Aggressive Buy,e7560ce8c3de47250cabc3879a21073d
2026-03-25,Motilal Oswal Midcap Fund,97.9963,120.8065,0.1888,24.64,Strong Buy,1519560f1e4cb0501bc11b602cabf574
2026-03-27,Motilal Oswal Midcap Fund,95.5937,120.8065,0.2087,26.8,Aggressive Buy,1a916952eaffe908307622077e1c0a6d
2026-03-30,Motilal Oswal Midcap Fund,92.9573,120.8065,0.2305,27.89,Aggressive Buy,ce76c2fb58512dec6a97478a95535b5e
2026-03-31,Motilal Oswal Midcap Fund,92.9568,120.8065,0.2305,27.89,Aggressive Buy,a9161d03cf473adc744ffdd58996a568
2026-04-01,Motilal Oswal Midcap Fund,95.6147,120.8065,0.2085,25.01,Aggressive Buy,49602cb582afdaff8beed9c9e64ad67f
2026-04-02,Motilal Oswal Midcap Fund,95.9132,120.8065,0.2061,25.52,Aggressive Buy,68a432a9f314da9f10fc7a4ca155ca96
2026-03-23,Parag Parikh Flexi Cap Fund,86.5918,95.7732,0.0959,26.73,None,1c731c9437696be4450e10f2622320e4
2026-03-24,Parag Parikh Flexi Cap Fund,87.0006,95.7732,0.0916,24.74,None,d555c35f8568d98ace9fe525139d5aa4
2026-03-25,Parag Parikh Flexi Cap Fund,87.841,95.7732,0.0828,24.64,None,178dd95b2ad4323ca436680aad37caa2
2026-03-27,Parag Parikh Flexi Cap Fund,86.4452,95.7732,0.0974,26.8,None,ee31c60adba361c4009d69142b111b33
2026-03-30,Parag Parikh Flexi Cap Fund,85.2599,95.7732,0.1098,27.89,Buy,ebfdd01257e46e02437b9a1fe6ef16af
2026-03-31,Parag Parikh Flexi Cap Fund,85.6779,95.7732,0.1054,27.89,Buy,b3f408f329e7e69df0d7ef357693005c
2026-04-01,Parag Parikh Flexi Cap Fund,86.3439,95.7732,0.0985,25.01,None,104d34c51feb3fa7569ac6f2e7a90bb5
2026-04-02,Parag Parikh Flexi Cap Fund,86.5155,95.7732,0.0967,25.52,None,521264f46caff2a32581da7fdf2ccb2f
2026-04-07,Motilal Oswal Midcap Fund,98.0759,120.8065,0.1882,25.52,Strong Buy,2358dd7e8f80eb04e23dd1e12c842e91
2026-04-07,Parag Parikh Flexi Cap Fund,86.5155,95.7732,0.0967,25.52,None,f2fea95b77ce478bb9740dfd2347fe71
2026-04-07,Motilal Oswal Midcap Fund,98.0759,120.8065,0.1882,25.52,Strong Buy,2358dd7e8f80eb04e23dd1e12c842e91
2026-04-08,Motilal Oswal Midcap Fund,98.3961,120.8065,0.1855,25.47,Strong Buy,d27abbbfdab9bf5cebc6a85664941935
2026-04-08,Parag Parikh Flexi Cap Fund,87.4905,95.7732,0.0865,25.47,None,8d4c64fe4bbd388b911e96127ad6eae6
2026-04-09,Motilal Oswal Midcap Fund,103.2887,120.8065,0.145,24.7,Buy,f5932d11d9ffd78db630a21cd5e2ea75
2026-04-09,Parag Parikh Flexi Cap Fund,88.0544,95.7732,0.0806,24.7,None,215304f57302b3763a086a174dec8aa5
2026-04-10,Motilal Oswal Midcap Fund,103.3217,120.8065,0.1447,19.7,Buy,9a424e663ebfe858328798cea9aa3b91
2026-04-10,Parag Parikh Flexi Cap Fund,90.1325,95.7732,0.0589,19.7,None,3bf2ba9333fc47ce5cc3b55032bb2e34
2026-04-11,Motilal Oswal Midcap Fund,104.241,120.8065,0.1371,20.43,Buy,5ca4e8641394a188d69a9a510301915a
2026-04-11,Parag Parikh Flexi Cap Fund,90.0737,95.7732,0.0595,20.43,None,23083885f3498c3e85267fb890a5f857
2026-04-13,Motilal Oswal Midcap Fund,104.241,120.8065,0.1371,20.5,Buy,d74b74eda7d3209b0796586b3b89196b
2026-04-13,Parag Parikh Flexi Cap Fund,90.4425,95.7732,0.0557,20.5,None,f5fb01fb3b0476da2c701def21d9a079
2026-04-14,Motilal Oswal Midcap Fund,103.5421,120.8065,0.1429,18.85,Buy,2f4e1f0914a7ad90769eed2c96c1e158
2026-04-14,Parag Parikh Flexi Cap Fund,90.4425,95.7732,0.0557,18.85,None,8b42b08d3bcd3e331fb91c95234ca7ca
2026-04-15,Motilal Oswal Midcap Fund,103.5421,120.8065,0.1429,20.5,Buy,1fffd57d9d59291728fa943ae32a54fe
2026-04-15,Parag Parikh Flexi Cap Fund,90.1521,95.7732,0.0587,20.5,None,5251de6dd87f9a0702188bdaa5562918
2026-04-16,Motilal Oswal Midcap Fund,105.9581,120.8065,0.1229,20.5,Buy,f99da61589cd0f49d025ddc4e15a3622
2026-04-16,Parag Parikh Flexi Cap Fund,90.1521,95.7732,0.0587,20.5,None,55138f0653328ef7c9747b81cb277266
2026-04-17,Motilal Oswal Midcap Fund,106.3813,120.8065,0.1194,18.67,Buy,0dfbab89ecb16c2e9484d83c6aa80194
2026-04-17,Parag Parikh Flexi Cap Fund,91.5729,95.7732,0.0439,18.67,None,5fda08b3c58fa977783ded74cf0c53fe
2026-04-18,Motilal Oswal Midcap Fund,106.8944,120.8065,0.1152,18.09,Buy,9a756c433d38608b22ce1408e9148fad
2026-04-18,Parag Parikh Flexi Cap Fund,91.4449,95.7732,0.0452,18.09,None,fde681ee834e182f89b8c336d362d07a
2026-04-19,PPFAS Flexi Cap Direct,122639,91.9852,95.7732,2025-10-27,3.96,,17.21,False,f95c423be7aeab5b1ec83e18f0728d52
2026-04-19,UTI Nifty 50 Index Direct,120716,170.2322,183.9374,2026-01-02,7.45,1,17.21,False,6c8ba62c79bd4a23cbb38ef76ee4a2d6
2026-04-20,PPFAS Flexi Cap Direct,122639,91.9852,95.7732,2025-10-27,3.96,,WAIT,17.21,False,d915a39c50f98d1069ee779f4c350956
2026-04-20,UTI Nifty 50 Index Direct,120716,170.2322,183.9374,2026-01-02,7.45,1,📉 ACCUMULATE,17.21,False,a0d3d68f4843a15ab69809db7098d86c
2026-04-20,Motilal Oswal Midcap Direct,127042,106.8944,122.513,2025-09-18,12.75,3,💥 STRONG BUY,17.21,False,94fd791caed14e597b966b6d1a8fbc05
2026-04-21,PPFAS Flexi Cap Direct,122639,91.6716,95.7732,2025-10-27,4.28,,WAIT,17.73,False,8fca631b5ee4c03a8daf0197839c4755
2026-04-21,UTI Nifty 50 Index Direct,120716,170.3089,183.9374,2026-01-02,7.41,1,📉 ACCUMULATE,17.73,False,4fcd6052ffc330f9c42ec1e6054597f1
2026-04-21,Motilal Oswal Midcap Direct,127042,106.5208,122.513,2025-09-18,13.05,3,💥 STRONG BUY,17.73,False,7d7a7cb6d4be8952e72654df8063a085
2026-04-22,PPFAS Flexi Cap Direct,122639,92.1913,95.7732,2025-10-27,3.74,,WAIT,18.44,True,d90a4ecdca33d4be893bbd0b80c4f269
2026-04-22,UTI Nifty 50 Index Direct,120716,171.7882,183.9374,2026-01-02,6.61,1,📉 ACCUMULATE,18.44,True,a0e8c31cc037df87ee2f2a879586bebf
2026-04-22,Motilal Oswal Midcap Direct,127042,107.4471,122.513,2025-09-18,12.3,3,💥 STRONG BUY,18.44,True,43d42b9ce6749eeb093e07ed0fd95219
2026-04-23,PPFAS Flexi Cap Direct,122639,91.483,95.7732,2025-10-27,4.48,,WAIT,18.73,True,31430d3f27376d62248c099cd2713a68
2026-04-23,UTI Nifty 50 Index Direct,120716,170.3996,183.9374,2026-01-02,7.36,1,📉 ACCUMULATE,18.73,True,9902420389ef17eab22eee8b71962b70
2026-04-23,Motilal Oswal Midcap Direct,127042,107.0569,122.513,2025-09-18,12.62,3,💥 STRONG BUY,18.73,True,b02548de683d821f2e88436de1c14313
2026-04-24,PPFAS Flexi Cap Direct,122639,91.0785,95.7732,2025-10-27,4.9,,WAIT,56.1,False,9.13,💪 Fund Holding Strong,19.38,True,8c2cb31ad5cc12988bedb168fe1327d1
2026-04-24,UTI Nifty 50 Index Direct,120716,168.9656,183.9374,2026-01-02,8.14,2,✅ BUY,53.9,False,9.13,🌊 Systemic Dip,19.38,True,355f5c108ef35afcb87c19b95f20c8b9
2026-04-24,Motilal Oswal Midcap Direct,127042,106.4504,122.513,2025-09-18,13.11,3,💥 STRONG BUY,62.7,False,9.13,🌊 Systemic Dip,19.38,True,47529116b16d630f845703c93bf45f55
2026-04-27,PPFAS Flexi Cap Direct,122639,90.56,95.7732,2025-10-27,5.44,1,📉 ACCUMULATE,52.7,False,8.7,🌊 Systemic Dip,18.5,True,a8025f709d5aa054f9c2af1ef9fc0c75
2026-04-27,UTI Nifty 50 Index Direct,120716,167.0801,183.9374,2026-01-02,9.16,2,✅ BUY,49.7,False,8.7,🌊 Systemic Dip,18.5,True,d5571bd31ec0c3c8daac8af37b86c5b4
2026-04-27,Motilal Oswal Midcap Direct,127042,104.777,122.513,2025-09-18,14.48,3,💥 STRONG BUY,56.6,False,8.7,🔍 Fund-Specific Dip,18.5,True,b45f373ea60510e6faff6b90187b3605
2026-04-28,PPFAS Flexi Cap Direct,122639,91.0418,95.7732,2025-10-27,4.94,,WAIT,52.7,False,8.29,🌊 Systemic Dip,17.42,False,32b4aea2a4598be22f6a82f861bf09e4
2026-04-28,UTI Nifty 50 Index Direct,120716,168.4387,183.9374,2026-01-02,8.43,2,✅ BUY,52.6,False,8.28,🌊 Systemic Dip,17.42,False,01de50d87fdd2e075f6b191a989fe776
2026-04-28,Motilal Oswal Midcap Direct,127042,105.3803,122.513,2025-09-18,13.98,3,💥 STRONG BUY,58.2,False,8.29,🔍 Fund-Specific Dip,17.42,False,e0d2e67ab3760da665920b81f073b2e4
2026-04-29,PPFAS Flexi Cap Direct,122639,90.7264,95.7732,2025-10-27,5.27,1,📉 ACCUMULATE,53.3,False,7.73,🌊 Systemic Dip,16.99,False,e99c0cd23f80e556a03fec5f7e70f161
2026-04-29,UTI Nifty 50 Index Direct,120716,167.7601,183.9374,2026-01-02,8.8,2,✅ BUY,51.0,False,7.73,🌊 Systemic Dip,16.99,False,a1777d29a4db092154f6718a6f42c9c2
2026-04-29,Motilal Oswal Midcap Direct,127042,105.5858,122.513,2025-09-18,13.82,3,💥 STRONG BUY,58.7,False,7.73,🔍 Fund-Specific Dip,16.99,False,d3808a1e9820f84e18bd8631326a0951
2026-04-30,PPFAS Flexi Cap Direct,122639,91.4026,95.7732,2025-10-27,4.56,,WAIT,57.1,False,9.57,💪 Fund Holding Strong,19.33,True,af6895b9104a9cc52620d339a58035e5
2026-04-30,UTI Nifty 50 Index Direct,120716,169.0307,183.9374,2026-01-02,8.1,2,✅ BUY,53.7,False,9.57,🌊 Systemic Dip,19.33,True,109ae759bf617a4de2c939337a96e3bd
2026-04-30,Motilal Oswal Midcap Direct,127042,105.8367,122.513,2025-09-18,13.61,3,💥 STRONG BUY,59.4,False,9.58,🔍 Fund-Specific Dip,19.33,True,7db73a530d4f38c389ec8371d837c14b
2026-05-01,PPFAS Flexi Cap Direct,122639,91.2902,95.7732,2025-10-27,4.68,,WAIT,56.3,False,8.85,💪 Fund Holding Strong,18.46,True,4089afa23f9a4375cdf0d3de89d34c33
2026-05-01,UTI Nifty 50 Index Direct,120716,167.7711,183.9374,2026-01-02,8.79,2,✅ BUY,50.7,False,8.85,🌊 Systemic Dip,18.46,True,d34b3d2af79640a6c549e5d1116041e3
2026-05-01,Motilal Oswal Midcap Direct,127042,104.8667,122.513,2025-09-18,14.4,3,💥 STRONG BUY,55.5,False,8.85,🔍 Fund-Specific Dip,18.46,True,c43029b55b2963c0bd0ddbaf0147d63d
2026-05-04,PPFAS Flexi Cap Direct,122639,91.2902,95.7732,2025-10-27,4.68,,WAIT,56.3,False,7.95,🌊 Systemic Dip,17.96,False,131760abee3361d602dcae6807573e0e
2026-05-04,UTI Nifty 50 Index Direct,120716,167.7711,183.9374,2026-01-02,8.79,2,✅ BUY,50.7,False,7.94,🌊 Systemic Dip,17.96,False,0ac2dad7e78de43a65a3f7af75e1ef57
2026-05-04,Motilal Oswal Midcap Direct,127042,104.8667,122.513,2025-09-18,14.4,3,💥 STRONG BUY,55.5,False,7.94,🔍 Fund-Specific Dip,17.96,False,1436d54cc441d98bb477ffa11d1f1802
2026-05-05,PPFAS Flexi Cap Direct,122639,91.2571,95.7732,2025-10-27,4.72,,WAIT,56.0,False,9.15,💪 Fund Holding Strong,18.77,True,6c91cb80e8d85875c6edff3b50dc46f6
2026-05-05,UTI Nifty 50 Index Direct,120716,168.6184,183.9374,2026-01-02,8.33,2,✅ BUY,52.7,False,9.15,🌊 Systemic Dip,18.77,True,8b265de371d465d00a63e61591287fc7
2026-05-05,Motilal Oswal Midcap Direct,127042,105.3881,122.513,2025-09-18,13.98,3,💥 STRONG BUY,57.1,False,9.15,🔍 Fund-Specific Dip,18.77,True,d84f97aa7abd38c41230496fbdd4d789
